49,61
22,23
28,52
14,47
86,73
6,28
44,81
37,39
84,80
44,12
9,70
49,87
89,2
5,52
33,12
18,19
14,44
90,11
9,88
22,1
60,4
62,6
81,19
66,21
11,55
76,18
37,43
25,51
25,78
4,16
79,38
75,87
51,39
54,39
7,26
55,17
90,13
14,52
53,64
29,66
12,50
80,49
61,7
35,62
89,30
27,29
63,68
36,57
18,77
13,41
68,49
57,67
77,86
41,20
86,87
34,27
82,28
45,73
60,18
55,81
63,39
67,84
88,66
26,90
87,38
82,2
50,10
43,51
25,34
55,83
81,30
44,61
82,7
56,44
70,74
36,6
17,36
51,45
80,18
89,54
85,68
81,6
22,87
70,53
38,18
77,12
71,13
70,18
45,54
37,80
29,21
90,53
36,18
59,83
72,10
87,64
13,24
58,35
4,71
34,84
62,64
16,12
30,81
19,22
43,16
30,25
13,81
90,31
64,55
90,33
13,29
55,88
27,62
45,6
58,70
88,46
82,12
77,60
62,31
31,14
74,44
74,46
76,1
79,28
40,31
42,19
49,5
6,21
28,77
3,66
3,2
18,40
52,56
71,33
63,38
70,65
49,21
70,85
9,22
60,9
66,47
73,14
24,38
30,70
55,38
76,65
79,33
83,28
28,48
83,69
67,73
78,84
67,53
69,83
62,47
86,66
38,43
35,62
15,84
11,32
61,67
31,39
66,34
11,30
16,86
51,73
84,9
61,9
80,66
52,74
24,15
7,80
13,54
69,79
68,45
30,87
35,65
77,86
3,46
10,52
